token	count	workbooks	tc_ids	fields
X-c	1	CertProvider	CertProvider/NR1L-CP-025	proc=1
X-d	5	ECUCert	ECUCert/NR1L-ECUC-001;ECUCert/NR1L-ECUC-013;ECUCert/NR1L-ECUC-023	er=3 proc=2
X-e	6	CertProvider	CertProvider/NR1L-CP-005;CertProvider/NR1L-CP-007;CertProvider/NR1L-CP-014;CertProvider/NR1L-CP-021;CertProvider/NR1L-CP-027;CertProvider/NR1L-CP-028	proc=6
X-f-2	6	KeyInstall	KeyInstall/NR1L-KI-018;KeyInstall/NR1L-KI-019;KeyInstall/NR1L-KI-022	er=3 proc=3
X-g	36	SAM	SAM/NR1L-SAM-003;SAM/NR1L-SAM-004;SAM/NR1L-SAM-006;SAM/NR1L-SAM-007;SAM/NR1L-SAM-008;SAM/NR1L-SAM-009;SAM/NR1L-SAM-011;SAM/NR1L-SAM-013;SAM/NR1L-SAM-014;SAM/NR1L-SAM-015;SAM/NR1L-SAM-016;SAM/NR1L-SAM-017;SAM/NR1L-SAM-018;SAM/NR1L-SAM-019;SAM/NR1L-SAM-020;SAM/NR1L-SAM-026;SAM/NR1L-SAM-027;SAM/NR1L-SAM-028;SAM/NR1L-SAM-029	er=18 proc=18
X-h	18	CertProvider;KeyInstall;SAM	CertProvider/NR1L-CP-002;CertProvider/NR1L-CP-005;CertProvider/NR1L-CP-007;CertProvider/NR1L-CP-014;CertProvider/NR1L-CP-021;CertProvider/NR1L-CP-022;CertProvider/NR1L-CP-023;CertProvider/NR1L-CP-025;CertProvider/NR1L-CP-027;CertProvider/NR1L-CP-028;KeyInstall/NR1L-KI-019;SAM/NR1L-SAM-005;SAM/NR1L-SAM-007;SAM/NR1L-SAM-009;SAM/NR1L-SAM-011;SAM/NR1L-SAM-013;SAM/NR1L-SAM-021	er=18
X-j	2	KeyInstall	KeyInstall/NR1L-KI-015	er=1 proc=1
X-k	6	ECUCert	ECUCert/NR1L-ECUC-014;ECUCert/NR1L-ECUC-015;ECUCert/NR1L-ECUC-021	er=3 proc=3
X-l	8	SwdlSecureLib	SwdlSecureLib/NR1L-SWDL-004;SwdlSecureLib/NR1L-SWDL-005;SwdlSecureLib/NR1L-SWDL-006;SwdlSecureLib/NR1L-SWDL-007	er=4 proc=4
X-m	2	libLogEncrypt	libLogEncrypt/NR1L-LOGENC-009	er=1 proc=1
X-n	4	SAM	SAM/NR1L-SAM-024;SAM/NR1L-SAM-025	er=2 proc=2
