outline	observable_interface	axis_9	axis_12	axis_13	emea_ics
2.1	head unit 之 comfort category 與其 tabs	暴露 → 補（6.3 移除 comfort section）	本節即該軸之來源節，PC 已正向帶之	暴露 → 補	**ch16 無對應節（no-counterpart，`ch16_mirror_map.tsv`）** —— ch16 十八節無 soft top rear defrost 之對應節。EMEA 排除式 PC 與 16.2 引用已依 37 §1 移除
2.2	climate screen／status bar／category button／popup	-034 與 -038 讀 category button → 暴露；餘不暴露	不暴露 —— 不觀察 tab	暴露 → 全數補	16.2 ICE1 mirrored → 排除成立
2.3	climate screen 之 AUTO 按鈕、風速指示與 main category control	暴露 → 全數補 —— 可觀察量皆在 head unit 之 comfort section（6.3 使其移除）	不暴露 —— 不觀察 tab	暴露 → 全數補（3 旋鈕 ICS 車無 HVAC 畫面／popup，出處 2.14）	補排除；**逐條答見各 TC 之 `emea_ics_review`**（R-C36-1）—— 本節之 ch16 對造與其分界見 `ch16_mirror_map.tsv`
2.4	climate screen 之 A/C 按鈕	暴露 → 全數補 —— 可觀察量皆在 head unit 之 comfort section（6.3 使其移除）	不暴露 —— 不觀察 tab	暴露 → 全數補（3 旋鈕 ICS 車無 HVAC 畫面／popup，出處 2.14）	補排除；**逐條答見各 TC 之 `emea_ics_review`**（R-C36-1）—— 本節之 ch16 對造與其分界見 `ch16_mirror_map.tsv`
2.5	climate screen 之 RECIRC 按鈕（含灰化）	暴露 → 全數補 —— 可觀察量皆在 head unit 之 comfort section（6.3 使其移除）	不暴露 —— 不觀察 tab	暴露 → 全數補（3 旋鈕 ICS 車無 HVAC 畫面／popup，出處 2.14）	補排除；**逐條答見各 TC 之 `emea_ics_review`**（R-C36-1）—— 本節之 ch16 對造與其分界見 `ch16_mirror_map.tsv`
2.6	TS climate screen／status bar／溫度 popup	不暴露 —— 非 comfort section	不暴露	暴露 → 全數補	16.6 ICE5 mirrored → 排除成立
2.6.1	climate screen 之溫度滑桿與 TEMP popup	不暴露	不暴露	暴露 → 全數補	16.6.1 ICE5.1 mirrored → 排除成立
2.7	TS climate screen 與 main category control	-058 讀 main category control → 暴露；餘不暴露	不暴露	暴露 → 全數補	16.7 ICE6 mirrored → 排除成立
2.7.1	climate screen 之風速段（fan segments）	不暴露 —— climate screen 非 head unit 之 comfort section	不暴露 —— 不觀察 tab	暴露 → 補（3 旋鈕 ICS 車上無 HVAC 畫面，無風速段可數）	16.7 ICE6 mirrored → 排除成立（惟 ICE6 只列 Off, 1-7；本節之 1-8 於 ch16 無對應，見 ch16_mirror_map.tsv 之 no-counterpart 列 —— 兩者不衝突：排除的是「用 ch16 介面的車」，而該車之值域由 ICE6 定）
2.10	CLIMATE OFF 畫面、category button、status bar 與硬控回復行為	暴露 → 全數補 —— 可觀察量皆在 head unit 之 comfort section（6.3 使其移除）	不暴露 —— 不觀察 tab	暴露 → 全數補（3 旋鈕 ICS 車無 HVAC 畫面／popup，出處 2.14）	補排除；**逐條答見各 TC 之 `emea_ics_review`**（R-C36-1）—— 本節之 ch16 對造與其分界見 `ch16_mirror_map.tsv`
